PanoTitle;PanoLat;PanoLng;PanoID
Haagstr-Kastell-Klosterstr;51.450945;6.625564;1930
Klosterstraße;51.451183;6.625737;1204
Kastell;51.450580;6.625298;1931
Altes Landratsamt;51.450159;6.624992;1932
Haagstraße;51.450066;6.628353;2307
Uerdingerstr./Haagstr;51.450221;6.629005;1938
Kiosk West;51.450707;6.629218;1933
Steinstraße;51.450877;6.628442;1216
Steinstraße;51.451018;6.627881;1213
Steinstraße/Burgstraße;51.451115;6.627412;1212
Burgstraße;51.450781;6.627148;1195
Steinstraße;51.451246;6.627098;1217
Pfefferstraße;51.451876;6.626842;1211
Steinstraße;51.451457;6.626454;1215
Pfefferstraße;51.451938;6.626457;1210
Kirchstraße/Pfefferstraße;51.451986;6.626227;1201
Kirchstraße;51.452285;6.626351;1202
Kirchstraße/Friedrichstraße;51.452530;6.626689;1200
Kirchstraße;51.452833;6.626791;1203
Wallzentrum/Kirchstraße;51.453022;6.627016;1220
Unterwallstraße/Neuer Wall;51.453171;6.627628;1939
Friedrichstraße;51.452433;6.626988;1197
Friedrichstraße;51.452091;6.627387;1196
Steinstraße;51.451576;6.625789;1214
Neumarkt;51.452368;6.625682;1206
Hans-Dieter-Hüsch-Platz/Wallzentrum;51.451775;6.627988;1198
Neustraße;51.451798;6.624649;1207
Neustraße;51.451917;6.624054;1208
Neustraße;51.452099;6.623268;1209
Neustraße;51.452184;6.622826;1934
Zum Alten Brauhaus;51.452336;6.622233;1935
Altmarkt;51.451530;6.626131;1194
Rathausvorplatz;51.453268;6.626469;1936
Moerser Schloss;51.449827;6.624706;1937
Neumarkt;51.451698;6.625235;1205
Hans-Dieter-Hüsch-Platz;51.451752;6.627585;1199
Schlossausstellung;51.449449;6.624501;3169
Hanns-Dieter-Hüsch-Bildungszentrum;51.453113;6.631724;3171
VHS Vorplatz;51.452966;6.63131;3172
Bahnhofsvorplatz;51.450403;6.640946;3165
Rathauspark;51.453679;6.62541;3166