"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"2";"Abteistraße";"";"5";"6";"5";"8";"6";"";"47441"
"3";"Achterathsheideweg";"";"6";"1";"3";"9";"1";"";"47447"
"4";"Ackerstraße";"";"1";"3";"6";"4";"3";"";"47447"
"6";"Adam-Riese-Straße";"";"5";"6";"4";"5";"6";"";"47441"
"7";"Adlerstraße";"";"3";"2";"8";"9";"2";"";"47441"
"8";"Adolf-Krummacher-Straße";"";"5";"6";"2";"5";"6";"";"47441"
"9";"Agnesstraße";"";"6";"1";"3";"9";"1";"";"47447"
"10";"Ahornstraße";"";"1";"2";"1";"4";"2";"";"47447"
"11";"Akazienstraße";"";"1";"2";"1";"4";"2";"";"47506,47447"
"12";"Albert-Altwicker-Straße";"";"8";"4";"10";"6";"4";"";"47445"
"13";"Albert-Schweitzer-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"14";"Albertstraße";"";"6";"1";"3";"9";"1";"";"47447"
"15";"Alexander-Bell-Straße";"";"3";"9";"14";"6";"9";"";"47445"
"16";"Alexander-Fleming-Weg";"";"6";"1";"3";"9";"1";"";"47447"
"17";"Alexanderstraße";"";"10";"5";"7";"2";"5";"";"47443"
"18";"Alex-Nöthen-Weg";"";"2";"10";"5";"7";"10";"";"47443"
"19";"Alfredstraße";"";"10";"5";"7";"5";"5";"";"47441"
"20";"Allmendestraße";"";"4";"9";"20";"10";"9";"";"47445"
"21";"Alsenstraße";"";"9";"7";"9";"7";"7";"";"47443"
"22";"Altdorferstraße";"";"1";"3";"2";"3";"3";"";"47447"
"23";"Altenbruchstraße";"";"1";"3";"6";"4";"3";"";"47447"
"24";"Alt-Hasselt-Straße";"";"9";"7";"16";"7";"7";"";"47443"
"25";"Altmarkt";"";"3";"6";"8";"9";"6";"";"47441"
"26";"Am Abelshof";"";"4";"9";"20";"10";"9";"";"47445,47475"
"27";"Am Achterrathshof";"";"6";"1";"3";"9";"1";"";"47447"
"28";"Am Agnetenhof";"";"6";"2";"1";"4";"2";"";"47447"
"29";"Am Anger";"";"8";"7";"15";"1";"7";"";"47445"
"30";"Am Bahndamm";"";"10";"10";"7";"3";"10";"";"47443"
"31";"Am Bendmannsfeld";"";"6";"1";"3";"9";"1";"";"47447"
"32";"Am Boschhof";"";"8";"4";"11";"6";"4";"";"47445"
"33";"Am Brink";"";"6";"2";"1";"4";"2";"";"47447"
"34";"Am Burgfeld";"";"1";"3";"1";"3";"3";"";"47441"
"35";"Am Domacker";"";"1";"3";"2";"3";"3";"";"47447"
"36";"Am Dorsterhof";"";"6";"1";"12";"9";"1";"";"47447"
"37";"Am Eulendyck";"";"6";"1";"3";"9";"1";"";"47447"
"38";"Am Feldrain";"";"7";"9";"5";"6";"9";"";"47445"
"39";"Am Fonderschen";"";"3";"2";"12";"9";"2";"";"47441"
"40";"Am Förtgesgraben";"";"6";"2";"1";"4";"2";"";"47447"
"41";"Am Frankenfeld";"";"7";"4";"12";"6";"4";"";"47445"
"43";"Am Fünderich";"";"3";"4";"17";"8";"4";"";"47441"
"44";"Am Geldermannshof";"";"10";"5";"7";"5";"5";"";"47441,47443"
"45";"Am Gerdtbach";"";"2";"8";"11";"1";"8";"";"47443"
"46";"Am Hasloth";"";"7";"9";"5";"6";"9";"";"47445"
"47";"Am Heckmannshof";"";"3";"2";"12";"9";"2";"";"47441"
"48";"Am Heiligen Berg";"";"1";"3";"2";"3";"3";"";"47447"
"49";"Am Holderstrauch";"";"6";"2";"1";"4";"2";"";"47447"
"50";"Am Holtmannshof";"";"6";"2";"1";"4";"2";"";"47447"
"51";"Am Hühnerort";"";"1";"5";"1";"3";"5";"";"47441,47198"
"52";"Am Hülsdonker Busch";"";"3";"2";"12";"9";"2";"";"47441"
"53";"Am Impler Berg";"";"4";"4";"20";"10";"4";"";"47445"
"54";"Am Jostenhof";"";"3";"2";"14";"8";"2";"";"47441"
"55";"Am Jungbornpark";"";"4";"9";"20";"10";"9";"";"47445"
"56";"Am Klömpkenshof";"";"1";"2";"1";"4";"2";"";"47447"
"57";"Am Kolk";"";"4";"9";"20";"10";"9";"";"47445"
"58";"Am Krähenacker";"";"2";"8";"11";"1";"8";"";"47443"
"59";"Am Meerholz";"";"4";"9";"20";"10";"9";"";"47445"
"60";"Am Meetschenhof";"";"8";"4";"11";"6";"4";"";"47445"
"61";"Am Moersbach";"";"4";"9";"20";"10";"9";"";"47445"
"62";"Am Mönk";"";"4";"9";"18";"10";"9";"";"47445"
"63";"Am Mühlenteich";"";"7";"9";"5";"6";"9";"";"47445"
"64";"Am Neukirchener Kanal";"";"3";"1";"12";"9";"1";"";"47441"
"65";"Am Pandyck";"";"10";"5";"7";"2";"5";"";"47443"
"66";"Am Pannenhof";"";"10";"5";"13";"2";"5";"";"47441"
"67";"Am Pattberg";"";"4";"4";"20";"10";"4";"";"47445"
"68";"Am Peschkenhof";"";"3";"1";"12";"9";"1";"";"47441"
"69";"Am Peterhof";"";"6";"2";"1";"4";"2";"";"47447"
"70";"Am Schrapershof";"";"1";"3";"6";"4";"3";"";"47447"
"71";"Am Schürmannshütt";"";"3";"4";"14";"8";"4";"";"47441"
"72";"Am Sportpark";"";"1";"6";"4";"3";"6";"";"47441"
"73";"Am Sportzentrum";"";"7";"9";"10";"6";"9";"";"47445"
"74";"Am Steinbrink";"";"1";"3";"6";"4";"3";"";"47447"
"75";"Am Utforter Graben";"";"8";"4";"10";"6";"4";"";"47445"
"76";"Am Viegenhof";"";"7";"9";"5";"6";"9";"";"47445"
"77";"Am Vinnbusch";"";"1";"3";"6";"4";"3";"";"47447"
"78";"Am Vutzhof";"";"8";"4";"11";"6";"4";"";"47445"
"79";"Am Weidenbruch";"";"6";"1";"3";"9";"1";"";"47447"
"80";"Am Wiesengrund";"";"6";"1";"3";"9";"1";"";"47447"
"81";"Am Wolfsberg";"";"9";"8";"5";"7";"8";"";"47443"
"82";"Amalienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"83";"Amselstraße";"";"4";"9";"18";"10";"9";"";"47445"
"84";"An den Eichen";"";"7";"4";"19";"6";"4";"";"47445"
"85";"An den Hornbuchen";"";"4";"9";"20";"10";"9";"";"47445"
"86";"An der Beeke";"";"2";"8";"11";"1";"8";"";"47443"
"87";"An der Berufsschule";"";"5";"6";"2";"5";"6";"";"47441"
"88";"An der Halde";"";"9";"7";"16";"7";"7";"";"47443"
"89";"An der Hees";"";"7";"9";"5";"6";"9";"";"47445"
"90";"An der Linde";"";"4";"9";"20";"10";"9";"";"47445"
"91";"An der neuen Mühle";"";"6";"1";"12";"9";"1";"";"47506,47447"
"92";"An der Sandkull";"";"4";"9";"20";"10";"9";"";"47445"
"93";"An der Schneckull";"";"4";"9";"5";"6";"9";"";"47445"
"94";"An Hoffmanns Büschken";"";"3";"2";"12";"9";"2";"";"47441"
"95";"Andreasstraße";"";"1";"3";"1";"3";"3";"";"47441"
"96";"Anemonenweg";"";"6";"1";"3";"9";"1";"";"47447"
"97";"Anglerstraße";"";"4";"9";"20";"10";"9";"";"47445"
"98";"Annabergstraße";"";"9";"7";"9";"7";"7";"";"47443"
"99";"Annastraße";"";"5";"6";"4";"5";"6";"";"47441"
"100";"Anrathsmünde";"";"4";"4";"20";"10";"4";"";"47445"
"101";"Antoniastraße";"";"5";"6";"4";"5";"6";"";"47441"
"102";"Antoniusstraße";"";"10";"5";"4";"3";"5";"";"47506,47441"
"103";"Arminiusstraße";"";"10";"5";"4";"3";"5";"";"47441"
"104";"Arnikaweg";"";"8";"4";"11";"6";"4";"";"47445"
"105";"Arnulfstraße";"";"3";"2";"8";"9";"2";"";"47441"
"108";"Asdonkshofstraße";"";"4";"4";"20";"10";"4";"";"47445"
"109";"Asterlager Straße";"";"1";"3";"1";"3";"3";"";"47441"
"110";"Asternstraße";"";"6";"1";"3";"9";"1";"";"47447"
"111";"Aubruchsweg";"";"1";"2";"1";"4";"2";"";"47447"
"112";"Auf dem Berg";"";"10";"5";"7";"3";"5";"";"47441"
"113";"Auf dem Hügel";"";"9";"8";"5";"7";"8";"";"47443"
"114";"Auf der Düne";"";"1";"3";"2";"3";"3";"";"47447"
"115";"Auf der Wehm";"";"6";"1";"3";"9";"1";"";"47447"
"116";"Augustastraße";"";"5";"6";"2";"8";"6";"";"47441"
"117";"August-Macke-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"118";"Averdunkshof";"";"5";"6";"5";"8";"6";"";"47447"
"119";"Azaleenweg";"";"4";"9";"20";"10";"9";"";"47445"
"120";"Baerler Straße";"";"3";"6";"17";"8";"6";"";"47441"
"121";"Baggerstraße";"";"7";"5";"15";"1";"5";"";"47445"
"122";"Bahnenstraße";"";"2";"8";"10";"7";"8";"";"47443"
"123";"Bahnhofstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"124";"Bankstraße";"";"3";"6";"17";"8";"6";"";"47441"
"126";"Barbarastraße";"";"9";"7";"16";"7";"7";"";"47443,47506"
"127";"Bataverstraße";"";"8";"4";"11";"6";"4";"";"47445"
"128";"Baudenstraße";"";"7";"4";"19";"6";"4";"";"47445"
"129";"Baumstraße";"";"7";"4";"19";"6";"4";"";"47445"
"130";"Baustraße";"";"3";"6";"17";"8";"6";"";"47441"
"131";"Beckerathsweg";"";"3";"9";"14";"10";"9";"";"47441"
"132";"Beckers Kull";"";"7";"9";"5";"6";"9";"";"47445"
"133";"Beethovenstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"134";"Begonienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"135";"Behringweg";"";"5";"6";"5";"5";"6";"";"47447"
"136";"Bendmannstraße";"";"6";"1";"3";"9";"1";"";"47447"
"137";"Bergahornstraße";"";"2";"10";"15";"2";"10";"";"47443"
"138";"Bergheideweg";"";"6";"2";"1";"4";"2";"";"47447"
"139";"Bergheimer Straße";"";"1";"3";"1";"3";"3";"";"47441"
"140";"Bergstraße";"";"10";"10";"7";"3";"10";"";"47443"
"142";"Bergwerkstraße";"";"8";"4";"19";"6";"4";"";"47445"
"143";"Bernhardstraße";"";"6";"1";"3";"9";"1";"";"47447"
"144";"Bernsbergerstraße";"";"7";"5";"15";"1";"5";"";"47445"
"145";"Bernsteinstraße";"";"7";"9";"10";"6";"9";"";"47445"
"146";"Bernsweg";"";"3";"9";"14";"6";"9";"";"47445"
"147";"Bertastraße";"";"3";"9";"14";"10";"9";"";"47445"
"148";"Bert-Brecht-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"149";"Bethanienstraße";"";"3";"4";"17";"8";"4";"";"47441"
"150";"Bettenkamper Weg";"";"6";"1";"12";"9";"1";"";"47447"
"151";"Beuthener Straße";"";"9";"7";"9";"7";"7";"";"47443"
"152";"Billstraße";"";"8";"4";"20";"10";"4";"";"47445"
"153";"Birkenpaschhof";"";"3";"2";"12";"9";"2";"";"47441"
"154";"Birkenstraße";"";"1";"2";"1";"4";"2";"";"47506,47447"
"155";"Birnenstraße";"";"4";"9";"20";"10";"9";"";"47445"
"156";"Bismarckstraße";"";"9";"7";"16";"7";"7";"";"47443"
"158";"Blücherstraße";"";"9";"8";"11";"7";"8";"";"47443"
"160";"Blumenstraße";"";"5";"6";"5";"8";"6";"";"47506,47441"
"161";"Boberstraße";"";"7";"4";"19";"6";"4";"";"47445"
"162";"Böckstraße";"";"4";"9";"18";"10";"9";"";"47445"
"163";"Bogenstraße";"";"1";"6";"1";"5";"6";"";"47441"
"164";"Böllerschenweg";"";"3";"1";"12";"9";"1";"";"47441"
"165";"Boltenschütt";"";"5";"6";"5";"8";"6";"";"47447"
"166";"Bonifatiusstraße";"";"10";"5";"4";"3";"5";"";"47441"
"167";"Boschheideweg";"";"1";"2";"1";"4";"2";"";"47447"
"168";"Brahmsstraße";"";"6";"1";"3";"9";"1";"";"47447"
"169";"Breslauer Straße";"";"9";"8";"9";"7";"8";"";"47443,47506"
"170";"Breuelstraße";"";"8";"4";"20";"6";"4";"";"47445"
"171";"Brieger Straße";"";"2";"8";"10";"1";"8";"";"47443"
"172";"Brinkenhof";"";"4";"9";"20";"10";"9";"";"47445"
"173";"Bruchstraße";"";"6";"2";"1";"4";"2";"";"47506,47447"
"175";"Bruckschenweg";"";"3";"2";"12";"9";"2";"";"47506,47441"
"176";"Brückstraße";"";"8";"4";"20";"6";"4";"";"47445"
"177";"Brüggerfeldweg";"";"1";"2";"1";"4";"2";"";"47447"
"178";"Brunostraße";"";"3";"6";"17";"8";"6";"";"47441"
"179";"Bucerstraße";"";"1";"3";"6";"4";"3";"";"47447"
"180";"Buchenweg";"";"1";"2";"1";"4";"2";"";"47447"
"181";"Buchmannstraße";"";"2";"10";"7";"7";"10";"";"47443"
"182";"Budberger Weg";"";"8";"4";"20";"6";"4";"";"47445"
"183";"Bullermannshof";"";"3";"4";"14";"8";"4";"";"47441"
"184";"Bunsenweg";"";"5";"6";"5";"5";"6";"";"47447"
"185";"Bunzlauer Straße";"";"2";"8";"10";"1";"8";"";"47443"
"186";"Burgstraße";"";"3";"6";"8";"9";"6";"";"47441"
"187";"Burgundenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"188";"Buschmannsweg";"";"6";"2";"1";"4";"2";"";"47447"
"189";"Buschstraße";"";"8";"4";"11";"6";"4";"";"47445,47506"
"190";"Bussardweg";"";"3";"2";"8";"9";"2";"";"47441"
"191";"Callunaweg";"";"1";"3";"6";"4";"3";"";"47447"
"192";"Calvinstraße";"";"1";"3";"6";"4";"3";"";"47447"
"193";"Carlo-Schmid-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"194";"Carl-Peschken-Straße";"";"3";"4";"14";"8";"4";"";"47441"
"195";"Carl-von-Ossietzky-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"196";"Carl-Zeiss-Straße";"";"3";"9";"14";"6";"9";"";"47445"
"197";"Cecilienstraße";"";"2";"10";"15";"2";"10";"";"47443"
"199";"Charlottenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"200";"Chemnitzer Straße";"";"5";"6";"4";"4";"6";"";"47441"
"201";"Cheruskerstraße";"";"10";"5";"4";"3";"5";"";"47441"
"202";"Christianstraße";"";"10";"5";"7";"5";"5";"";"47441"
"203";"Christian-von-Wolff-Weg";"";"5";"6";"5";"5";"6";"";"47447"
"204";"Christine-Hirschmann-Weg";"";"2";"8";"11";"1";"8";"";"47443"
"205";"Christine-Teusch-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"206";"Claudiusstraße";"";"10";"5";"4";"3";"5";"";"47441"
"207";"Clausthalstraße";"";"3";"6";"17";"8";"6";"";"47441"
"208";"Cloudtstraße";"";"3";"6";"17";"8";"6";"";"47441"
"209";"Cranachstraße";"";"1";"3";"2";"4";"3";"";"47447"
"210";"Crusestraße";"";"3";"6";"17";"8";"6";"";"47441"
"211";"Dachsweg";"";"3";"4";"15";"6";"4";"";"47441"
"212";"Daheimstraße";"";"1";"3";"6";"4";"3";"";"47447"
"213";"Dahlienweg";"";"6";"1";"3";"9";"1";"";"47447"
"214";"Damaschkestraße";"";"10";"10";"15";"2";"10";"";"47443"
"215";"Danziger Straße";"";"7";"9";"10";"6";"9";"";"47506,47445"
"217";"Davidstraße";"";"10";"5";"7";"5";"5";"";"47441"
"218";"Dessauerstraße";"";"8";"7";"15";"1";"7";"";"47445"
"219";"Diergardtstraße";"";"5";"6";"5";"8";"6";"";"47441"
"220";"Dieselstraße";"";"2";"8";"11";"1";"8";"";"47443"
"221";"Diesterwegstraße";"";"3";"6";"17";"8";"6";"";"47506,47441"
"222";"Dietrichstraße";"";"10";"10";"15";"2";"10";"";"47443"
"223";"Dillschenweg";"";"4";"4";"20";"10";"4";"";"47445"
"224";"Dohlenstraße";"";"2";"8";"11";"1";"8";"";"47443"
"225";"Donaustraße";"";"9";"7";"16";"7";"7";"";"47443"
"227";"Dongrathshof";"";"4";"9";"20";"10";"9";"";"47445"
"228";"Dongstraße";"";"3";"9";"14";"6";"9";"";"47506,47445"
"229";"Dorfstraße";"";"1";"3";"6";"4";"3";"";"47447"
"230";"Dorotheenstraße";"";"1";"6";"1";"4";"6";"";"47447"
"232";"Dorsterfeldstraße";"";"6";"1";"3";"9";"1";"";"47447"
"233";"Dr.-Berns-Straße";"";"3";"4";"14";"10";"4";"";"47441"
"234";"Dr.-Fabricius-Straße";"";"5";"6";"5";"8";"6";"";"47441"
"235";"Dr.-Hermann-Bähr-Straße";"";"3";"6";"8";"9";"6";"";"47441"
"237";"Dr.-Karl-Hirschberg-Straße";"";"5";"6";"5";"8";"6";"";"47441"
"238";"Drennesweg";"";"3";"9";"14";"6";"9";"";"47445"
"239";"Dresdener Ring";"";"5";"6";"4";"5";"6";"";"47441"
"240";"Drinhausstraße";"";"6";"1";"3";"9";"1";"";"47447"
"241";"Drosselstraße";"";"4";"9";"18";"10";"9";"";"47445"
"242";"Droste-Hülshoff-Straße";"";"8";"7";"15";"1";"7";"";"47506,47445"
"243";"Drususstraße";"";"1";"5";"4";"3";"5";"";"47441"
"244";"Duisburger Straße";"";"2";"10";"10";"2";"10";"";"47443"
"245";"Düppelstraße";"";"5";"6";"5";"8";"6";"";"47441"
"246";"Dürerstraße";"";"1";"3";"2";"3";"3";"";"47506,47447"
"250";"Edmundstraße";"";"6";"1";"3";"9";"1";"";"47447"
"251";"Eduardstraße";"";"1";"3";"1";"3";"3";"";"47441"
"252";"Egonstraße";"";"6";"1";"3";"9";"1";"";"47447"
"253";"Ehrenmalstraße";"";"6";"1";"3";"9";"1";"";"47447"
"254";"Eibenweg";"";"1";"2";"1";"4";"2";"";"47447"
"255";"Eichbuschweg";"";"6";"1";"12";"9";"1";"";"47447"
"256";"Eichendorffstraße";"";"4";"9";"18";"10";"9";"";"47445"
"257";"Eichenstraße";"";"2";"10";"15";"2";"10";"";"47443,47506"
"258";"Eicker Grund";"";"7";"4";"19";"6";"4";"";"47445"
"259";"Eickschenweg";"";"7";"9";"12";"6";"9";"";"47445"
"260";"Einsteinstraße";"";"5";"6";"5";"5";"6";"";"47447"
"261";"Eisenbahnstraße";"";"8";"7";"15";"1";"7";"";"47445"
"262";"Eisenstraße";"";"9";"7";"16";"7";"7";"";"47443"
"263";"Elbestraße";"";"9";"7";"16";"7";"7";"";"47506,47443"
"264";"Elbinger Ring";"";"8";"4";"10";"6";"4";"";"47445"
"265";"Elenastraße";"";"5";"6";"4";"5";"6";"";"47441"
"266";"Elisabeth-Selbert-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"267";"Elisenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"268";"Elly-Heuss-Knapp-Weg";"";"7";"9";"12";"6";"9";"";"47445"
"269";"Elsterfeldstraße";"";"8";"4";"20";"6";"4";"";"47445"
"270";"Elsterstraße";"";"9";"8";"11";"1";"8";"";"47443"
"271";"Emanuelstraße";"";"4";"9";"20";"10";"9";"";"47445"
"272";"Emil-Nolde-Straße";"";"1";"3";"2";"3";"3";"";"47447"
"273";"Endstraße";"";"3";"9";"14";"10";"9";"";"47441,47445,47506"
"274";"Engelbertstraße";"";"10";"10";"15";"2";"10";"";"47443"
"275";"Engelsberg";"";"2";"8";"10";"7";"8";"";"47443"
"276";"Erftstraße";"";"9";"7";"16";"7";"7";"";"47443"
"277";"Erich-Kästner-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"278";"Erikaweg";"";"1";"3";"6";"4";"3";"";"47447"
"279";"Erlenweg";"";"1";"2";"1";"4";"2";"";"47447"
"281";"Ernst-Barlach-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"282";"Ernst-Holla-Straße";"";"2";"10";"5";"7";"10";"";"47443"
"283";"Ernststraße";"";"10";"10";"15";"2";"10";"";"47443"
"284";"Erzgebirgsstraße";"";"7";"4";"19";"6";"4";"";"47445"
"285";"Eschenweg";"";"1";"2";"1";"4";"2";"";"47447"
"287";"Essenberger Straße";"117-Ende,118-Ende";"10";"5";"13";"2";"5";"";"47443"
"290";"Eulenweg";"";"3";"2";"8";"9";"2";"";"47441"
"291";"Eupener Platz";"";"9";"7";"9";"7";"7";"";"47443"
"292";"Eupener Straße";"";"9";"7";"9";"7";"7";"";"47443"
"293";"Eurotec-Ring";"";"8";"4";"19";"6";"4";"";"47445"
"294";"Ewaldstraße";"";"6";"1";"3";"9";"1";"";"47447"
"295";"Falkenweg";"";"3";"2";"8";"9";"2";"";"47441"
"296";"Fasanenplatz";"";"3";"2";"8";"9";"2";"";"47441"
"297";"Fasanenstraße";"";"3";"2";"8";"9";"2";"";"47441"
"298";"Feldmannstraße";"";"4";"9";"20";"10";"9";"";"47445"
"299";"Feldstraße";"";"3";"6";"17";"8";"6";"";"47506,47441"
"300";"Felixweg";"";"2";"10";"15";"2";"10";"";"47443"
"301";"Felkestraße";"";"4";"9";"20";"10";"9";"";"47445"
"302";"Fenchelstraße";"";"8";"4";"11";"6";"4";"";"47445"
"303";"Ferdinandstraße";"";"10";"5";"13";"2";"5";"";"47441"
"304";"Ferdinand-Zeppelin-Straße";"";"3";"9";"14";"6";"9";"";"47445"
"305";"Feuerbachstraße";"";"1";"3";"2";"3";"3";"";"47447"
"306";"Fichtenstraße";"";"1";"2";"1";"4";"2";"";"47447"
"307";"Fieselstraße";"";"3";"6";"8";"9";"6";"";"47441"
"308";"Filder Straße";"";"5";"6";"5";"8";"6";"";"47441,47447,47445"
"310";"Finkstraße";"";"4";"9";"18";"10";"9";"";"47445"
"311";"Fliederweg";"";"4";"9";"20";"10";"9";"";"47445"
"312";"Florastraße";"";"10";"5";"7";"2";"5";"";"47443"
"313";"Flurweg";"";"1";"2";"1";"4";"2";"";"47447"
"314";"Föhrenstraße";"";"1";"2";"1";"4";"2";"";"47447"
"315";"Fontanestraße";"";"8";"7";"15";"1";"7";"";"47445"
"316";"Forststraße";"";"9";"7";"15";"7";"7";"";"47443"
"317";"Frankenstraße";"";"8";"4";"10";"6";"4";"";"47445"
"318";"Franz-Haniel-Straße";"";"2";"10";"10";"2";"10";"";"47443"
"319";"Franz-Marc-Straße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"320";"Franz-Saumer-Weg";"";"2";"8";"11";"1";"8";"";"47443"
"321";"Franzstraße";"";"1";"3";"1";"3";"3";"";"47441"
"322";"Freiligrathstraße";"";"4";"9";"18";"10";"9";"";"47445"
"323";"Friedenstraße";"";"8";"4";"10";"6";"4";"";"47445"
"324";"Friedhofstraße";"";"6";"1";"3";"9";"1";"";"47447"
"325";"Friedrich-Ebert-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"326";"Friedrich-Schelling-Straße";"";"5";"6";"5";"5";"6";"";"47441"
"327";"Friedrichstraße";"";"3";"6";"8";"9";"6";"";"47441"
"328";"Friemersheimer Straße";"";"1";"3";"1";"3";"3";"";"47441"
"329";"Friesenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"330";"Frietstraße";"";"8";"4";"20";"6";"4";"";"47445"
"331";"Fritz-Husemann-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"332";"Fritz-Peters-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"333";"Fritz-Reuter-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"334";"Fröbelstraße";"";"5";"6";"1";"5";"6";"";"47441"
"335";"Fuchsienweg";"";"6";"1";"3";"9";"1";"";"47447"
"336";"Fuldastraße";"";"9";"8";"9";"7";"8";"";"47443"
"337";"Gabelsbergerstraße";"";"3";"6";"17";"8";"6";"";"47441"
"338";"Galgenbergsheide";"";"9";"8";"5";"7";"8";"";"47443"
"339";"Gallierring";"";"8";"4";"11";"6";"4";"";"47445"
"340";"Galmesweg";"";"3";"9";"14";"6";"9";"";"47445"
"341";"Gartenstraße";"";"5";"6";"5";"8";"6";"";"47506,47441"
"342";"Gaußstraße";"";"5";"6";"5";"5";"6";"";"47447,47441"
"343";"Gebrüder-Grimm-Platz";"";"6";"1";"3";"9";"1";"";"47447"
"344";"Geldernsche Straße";"";"3";"2";"14";"10";"2";"";"47441"
"345";"Gellertstraße";"";"3";"6";"17";"8";"6";"";"47441"
"346";"Genender Platz";"";"3";"9";"14";"6";"9";"";"47445"
"347";"Genender Weg";"";"3";"9";"14";"6";"9";"";"47445"
"348";"Georgstraße";"";"6";"1";"3";"9";"1";"";"47447"
"349";"Geranienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"350";"Gerhardstraße";"";"10";"5";"13";"3";"5";"";"47441"
"351";"Gerhart-Hauptmann-Straße";"";"4";"9";"18";"10";"9";"";"47445"
"352";"Germanenstraße";"";"1";"5";"13";"3";"5";"";"47441"
"353";"Germendonks Kamp";"";"2";"8";"11";"1";"8";"";"47443"
"354";"Germerdonkstraße";"";"6";"1";"3";"9";"1";"";"47447"
"355";"Gertrud-Bäumer-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"356";"Gertrudenweg";"";"6";"1";"3";"9";"1";"";"47447"
"357";"Gimpelweg";"";"2";"8";"11";"1";"8";"";"47443"
